,corr,names,name,corrnames
784,"19,225,333,2989,1445",Ace Ventura: When Nature Calls (1995);;Disclosure (1994);;Tommy Boy (1995);;For Your Eyes Only (1981);;McHale's Navy (1997),"Cable Guy, The (1996)",Ace Ventura: When Nature Calls (1995);;Disclosure (1994);;Tommy Boy (1995);;For Your Eyes Only (1981);;McHale's Navy (1997)
785,"1348,2472,2285,68,2452","Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922);;Tough Guys (1986);;If.... (1968);;French Twist (Gazon maudit) (1995);;Gate II: Trespassers, The (1990)",Kingpin (1996),"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922);;Tough Guys (1986);;If.... (1968);;French Twist (Gazon maudit) (1995);;Gate II: Trespassers, The (1990)"
786,"1467,1270,199,1604,1579","Salut cousin! (1996);;Back to the Future (1985);;Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);;Money Talks (1997);;For Ever Mozart (1996)",Eraser (1996),"Salut cousin! (1996);;Back to the Future (1985);;Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);;Money Talks (1997);;For Ever Mozart (1996)"
787,"519,758,1859,2476,121","Robocop 3 (1993);;Jar, The (Khomreh) (1992);;Taste of Cherry (1997);;Heartbreak Ridge (1986);;Boys of St. Vincent, The (1993)","Gate of Heavenly Peace, The (1995)","Robocop 3 (1993);;Jar, The (Khomreh) (1992);;Taste of Cherry (1997);;Heartbreak Ridge (1986);;Boys of St. Vincent, The (1993)"
788,"1355,356,3542,1852,2701",Nightwatch (1997);;Forrest Gump (1994);;Coming Apart (1969);;Love Walked In (1998);;Wild Wild West (1999),"Nutty Professor, The (1996)",Nightwatch (1997);;Forrest Gump (1994);;Coming Apart (1969);;Love Walked In (1998);;Wild Wild West (1999)
789,"2268,1027,2970,792,3055","Few Good Men, A (1992);;Robin Hood: Prince of Thieves (1991);;Fitzcarraldo (1982);;Hungarian Fairy Tale, A (1987);;Felicia's Journey (1999)","I, Worst of All (Yo, la peor de todas) (1990)","Few Good Men, A (1992);;Robin Hood: Prince of Thieves (1991);;Fitzcarraldo (1982);;Hungarian Fairy Tale, A (1987);;Felicia's Journey (1999)"
790,"0,0,0,0,0",,An Unforgettable Summer (1994),
791,"602,50,1002,287,588","Great Day in Harlem, A (1994);;Usual Suspects, The (1995);;Ed's Next Move (1996);;Nina Takes a Lover (1994);;Aladdin (1992)","Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)","Great Day in Harlem, A (1994);;Usual Suspects, The (1995);;Ed's Next Move (1996);;Nina Takes a Lover (1994);;Aladdin (1992)"
792,"3522,2271,3400,132,2832","Sacco and Vanzetti (Sacco e Vanzetti) (1971);;Permanent Midnight (1998);;We're Back! A Dinosaur's Story (1993);;Jade (1995);;Lost Son, The (1999)","Hungarian Fairy Tale, A (1987)","Sacco and Vanzetti (Sacco e Vanzetti) (1971);;Permanent Midnight (1998);;We're Back! A Dinosaur's Story (1993);;Jade (1995);;Lost Son, The (1999)"
793,"1246,1724,1728,1016,3265","Dead Poets Society (1989);;Full Speed (1996);;Winter Guest, The (1997);;Shaggy Dog, The (1959);;Hard-Boiled (Lashou shentan) (1992)",My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),"Dead Poets Society (1989);;Full Speed (1996);;Winter Guest, The (1997);;Shaggy Dog, The (1959);;Hard-Boiled (Lashou shentan) (1992)"
796,"637,2587,3117,3250,664",Sgt. Bilko (1996);;Life (1999);;Ride with the Devil (1999);;Alive (1993);;Faithful (1996),"Very Natural Thing, A (1974)",Sgt. Bilko (1996);;Life (1999);;Ride with the Devil (1999);;Alive (1993);;Faithful (1996)
798,"305,1579,531,925,199","Ready to Wear (Pret-A-Porter) (1994);;For Ever Mozart (1996);;Secret Garden, The (1993);;Golden Earrings (1947);;Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Daylight (1996),"Ready to Wear (Pret-A-Porter) (1994);;For Ever Mozart (1996);;Secret Garden, The (1993);;Golden Earrings (1947);;Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
799,"69,183,684,694,663","Friday (1995);;Mute Witness (1994);;Windows (1980);;Substitute, The (1996);;Kids in the Hall: Brain Candy (1996)","Frighteners, The (1996)","Friday (1995);;Mute Witness (1994);;Windows (1980);;Substitute, The (1996);;Kids in the Hall: Brain Candy (1996)"
800,"1482,1555,519,275,917","Van, The (1996);;To Have, or Not (1995);;Robocop 3 (1993);;Mixed Nuts (1994);;Little Princess, The (1939)",Lone Star (1996),"Van, The (1996);;To Have, or Not (1995);;Robocop 3 (1993);;Mixed Nuts (1994);;Little Princess, The (1939)"
801,"559,1850,774,53,1834","Paris, France (1993);;I Love You, Don't Touch Me! (1998);;Wend Kuuni (God's Gift) (1982);;Lamerica (1994);;Spanish Prisoner, The (1997)",Harriet the Spy (1996),"Paris, France (1993);;I Love You, Don't Touch Me! (1998);;Wend Kuuni (God's Gift) (1982);;Lamerica (1994);;Spanish Prisoner, The (1997)"
802,"73,475,2639,1638,585","Misérables, Les (1995);;In the Name of the Father (1993);;Mommie Dearest (1981);;Brady Bunch Movie, The (1995)",Phenomenon (1996),"Misérables, Les (1995);;In the Name of the Father (1993);;Mommie Dearest (1981);;Brady Bunch Movie, The (1995)"
803,"1969,71,1697,241,467","Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985);;Fair Game (1995);;Big Bang Theory, The (1994);;Fluke (1995);;Live Nude Girls (1995)",Walking and Talking (1996),"Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985);;Fair Game (1995);;Big Bang Theory, The (1994);;Fluke (1995);;Live Nude Girls (1995)"
804,"73,1366,1588,1597,177","Misérables, Les (1995);;Crucible, The (1996);;George of the Jungle (1997);;Conspiracy Theory (1997);;Lord of Illusions (1995)",She's the One (1996),"Misérables, Les (1995);;Crucible, The (1996);;George of the Jungle (1997);;Conspiracy Theory (1997);;Lord of Illusions (1995)"
805,"2055,1518,979,475,3005","Hot Lead and Cold Feet (1978);;Breakdown (1997);;Nothing Personal (1995);;In the Name of the Father (1993);;Bone Collector, The (1999)","Time to Kill, A (1996)","Hot Lead and Cold Feet (1978);;Breakdown (1997);;Nothing Personal (1995);;In the Name of the Father (1993);;Bone Collector, The (1999)"
806,"1672,2224,1497,919,1505","Rainmaker, The (1997);;Downhill (1927);;Double Team (1997);;Wizard of Oz, The (1939)",American Buffalo (1996),"Rainmaker, The (1997);;Downhill (1927);;Double Team (1997);;Wizard of Oz, The (1939)"
807,"2890,711,2508,1048,1024","Three Kings (1999);;Flipper (1996);;Breaks, The (1999);;Three Caballeros, The (1945)","Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)","Three Kings (1999);;Flipper (1996);;Breaks, The (1999);;Three Caballeros, The (1945)"
808,"1444,936,559,1857,2918","Guantanamera (1994);;Ninotchka (1939);;Paris, France (1993);;Real Blonde, The (1997);;Ferris Bueller's Day Off (1986)",Alaska (1996),"Guantanamera (1994);;Ninotchka (1939);;Paris, France (1993);;Real Blonde, The (1997);;Ferris Bueller's Day Off (1986)"
809,"20,1307,2600,1579,1533","Money Train (1995);;When Harry Met Sally... (1989);;eXistenZ (1999);;For Ever Mozart (1996);;Promise, The (La Promesse) (1996)",Fled (1996),"Money Train (1995);;When Harry Met Sally... (1989);;eXistenZ (1999);;For Ever Mozart (1996);;Promise, The (La Promesse) (1996)"
810,"252,1444,1851,654,1447",I.Q. (1994);;Guantanamera (1994);;Leather Jacket Love Story (1997);;Und keiner weint mir nach (1996);;Gridlock'd (1997),Kazaam (1996),I.Q. (1994);;Guantanamera (1994);;Leather Jacket Love Story (1997);;Und keiner weint mir nach (1996);;Gridlock'd (1997)
811,"1385,623,1552,956,1126","Under Siege (1992);;Modern Affair, A (1995);;Con Air (1997);;Penny Serenade (1941);;Drop Dead Fred (1991)","Bewegte Mann, Der (1994)","Under Siege (1992);;Modern Affair, A (1995);;Con Air (1997);;Penny Serenade (1941);;Drop Dead Fred (1991)"
813,"3056,629,1389,429,64",Oxygen (1999);;Rude (1995);;Jaws 3-D (1983);;Cabin Boy (1994);;Two if by Sea (1996),Larger Than Life (1996),Oxygen (1999);;Rude (1995);;Jaws 3-D (1983);;Cabin Boy (1994);;Two if by Sea (1996)
814,"0,0,0,0,0",,"Boy Called Hate, A (1995)",
815,"1310,1859,1424,383,1203",Hype! (1996);;Taste of Cherry (1997);;Inside (1996);;Wyatt Earp (1994);;12 Angry Men (1957),Power 98 (1995),Hype! (1996);;Taste of Cherry (1997);;Inside (1996);;Wyatt Earp (1994);;12 Angry Men (1957)
818,"567,1851,1547,709,553",Kika (1993);;Leather Jacket Love Story (1997);;Shiloh (1997);;Oliver & Company (1988);;Tombstone (1993),"Very Brady Sequel, A (1996)",Kika (1993);;Leather Jacket Love Story (1997);;Shiloh (1997);;Oliver & Company (1988);;Tombstone (1993)
820,"664,514,3114,3077,566","Faithful (1996);;Ref, The (1994);;Toy Story 2 (1999);;42 Up (1998);;Naked in New York (1994)","Death in the Garden (Mort en ce jardin, La) (1956)","Faithful (1996);;Ref, The (1994);;Toy Story 2 (1999);;42 Up (1998);;Naked in New York (1994)"
821,"649,1526,2441,17,3523","Cold Fever (Á köldum klaka) (1994);;Fathers' Day (1997);;Hi-Lo Country, The (1998);;Sense and Sensibility (1995);;Taffin (1988)","Crude Oasis, The (1995)","Cold Fever (Á köldum klaka) (1994);;Fathers' Day (1997);;Hi-Lo Country, The (1998);;Sense and Sensibility (1995);;Taffin (1988)"
823,"3522,3370,2497,2294,640",Sacco and Vanzetti (Sacco e Vanzetti) (1971);;Betrayed (1988);;Message in a Bottle (1999);;Antz (1998);;Diabolique (1996),"Collectionneuse, La (1967)",Sacco and Vanzetti (Sacco e Vanzetti) (1971);;Betrayed (1988);;Message in a Bottle (1999);;Antz (1998);;Diabolique (1996)
824,"1250,1703,790,289,209","Bridge on the River Kwai, The (1957);;For Richer or Poorer (1997);;An Unforgettable Summer (1994);;Only You (1994);;White Man's Burden (1995)",Kaspar Hauser (1993),"Bridge on the River Kwai, The (1957);;For Richer or Poorer (1997);;An Unforgettable Summer (1994);;Only You (1994);;White Man's Burden (1995)"
826,"580,1486,1290,2463,2311","Princess Caraboo (1994);;Quiet Room, The (1996);;Some Kind of Wonderful (1987);;Ruthless People (1986);;2010 (1984)",Diebinnen (1995),"Princess Caraboo (1994);;Quiet Room, The (1996);;Some Kind of Wonderful (1987);;Ruthless People (1986);;2010 (1984)"
827,"0,0,0,0,0",,"Convent, The (Convento, O) (1995)",
828,"233,242,1850,1940,1921","Exotica (1994);;Farinelli: il castrato (1994);;I Love You, Don't Touch Me! (1998);;Gentleman's Agreement (1947);;Pi (1998)","Adventures of Pinocchio, The (1996)","Exotica (1994);;Farinelli: il castrato (1994);;I Love You, Don't Touch Me! (1998);;Gentleman's Agreement (1947);;Pi (1998)"
829,"64,1389,2281,654,63",Two if by Sea (1996);;Jaws 3-D (1983);;Monument Ave. (1998);;Und keiner weint mir nach (1996);;Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Joe's Apartment (1996),Two if by Sea (1996);;Jaws 3-D (1983);;Monument Ave. (1998);;Und keiner weint mir nach (1996);;Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
830,"5,3,2993,3563,1042","Father of the Bride Part II (1995);;Grumpier Old Men (1995);;Thunderball (1965);;Crow: Salvation, The (2000);;That Thing You Do! (1996)","First Wives Club, The (1996)","Father of the Bride Part II (1995);;Grumpier Old Men (1995);;Thunderball (1965);;Crow: Salvation, The (2000);;That Thing You Do! (1996)"
831,"2396,3026,551,720,2487","Shakespeare in Love (1998);;Slaughterhouse (1987);;Nightmare Before Christmas, The (1993);;Wallace & Gromit: The Best of Aardman Animation (1996);;Blood, Guts, Bullets and Octane (1998)",Stonewall (1995),"Shakespeare in Love (1998);;Slaughterhouse (1987);;Nightmare Before Christmas, The (1993);;Wallace & Gromit: The Best of Aardman Animation (1996);;Blood, Guts, Bullets and Octane (1998)"
832,"251,1692,2995,2569,2861","Hunted, The (1995);;Alien Escape (1995);;House on Haunted Hill, The (1999);;Among Giants (1998);;For Love of the Game (1999)",Ransom (1996),"Hunted, The (1995);;Alien Escape (1995);;House on Haunted Hill, The (1999);;Among Giants (1998);;For Love of the Game (1999)"
833,"2564,19,2565,169,1511","Empty Mirror, The (1999);;Ace Ventura: When Nature Calls (1995);;King and I, The (1956);;Free Willy 2: The Adventure Home (1995);;A Chef in Love (1996)",High School High (1996),"Empty Mirror, The (1999);;Ace Ventura: When Nature Calls (1995);;King and I, The (1956);;Free Willy 2: The Adventure Home (1995);;A Chef in Love (1996)"
834,"669,626,2715,1553,3019","Aparajito (1956);;Thin Line Between Love and Hate, A (1996);;Velocity of Gary, The (1998);;Late Bloomers (1996);;Drugstore Cowboy (1989)",Phat Beach (1996),"Aparajito (1956);;Thin Line Between Love and Hate, A (1996);;Velocity of Gary, The (1998);;Late Bloomers (1996);;Drugstore Cowboy (1989)"
835,"1409,510,919,662,2591","Michael (1996);;Poetic Justice (1993);;Wizard of Oz, The (1939);;Fear (1996);;Jeanne and the Perfect Guy (Jeanne et le garçon formidable) (1998)",Foxfire (1996),"Michael (1996);;Poetic Justice (1993);;Wizard of Oz, The (1939);;Fear (1996);;Jeanne and the Perfect Guy (Jeanne et le garçon formidable) (1998)"
836,"532,443,20,925,70","Serial Mom (1994);;Endless Summer 2, The (1994);;Money Train (1995);;Golden Earrings (1947);;From Dusk Till Dawn (1996)",Chain Reaction (1996),"Serial Mom (1994);;Endless Summer 2, The (1994);;Money Train (1995);;Golden Earrings (1947);;From Dusk Till Dawn (1996)"
837,"936,746,1857,1718,515","Ninotchka (1939);;Force of Evil (1948);;Real Blonde, The (1997);;Stranger in the House (1997);;Remains of the Day, The (1993)",Matilda (1996),"Ninotchka (1939);;Force of Evil (1948);;Real Blonde, The (1997);;Stranger in the House (1997);;Remains of the Day, The (1993)"
838,"17,481,818,28,593","Sense and Sensibility (1995);;Kalifornia (1993);;Very Brady Sequel, A (1996);;Persuasion (1995);;Silence of the Lambs, The (1991)",Emma (1996),"Sense and Sensibility (1995);;Kalifornia (1993);;Very Brady Sequel, A (1996);;Persuasion (1995);;Silence of the Lambs, The (1991)"
839,"1527,486,1451,1419,2196","Fifth Element, The (1997);;Life with Mikey (1993);;Walkabout (1971);;Knock Off (1998)","Crow: City of Angels, The (1996)","Fifth Element, The (1997);;Life with Mikey (1993);;Walkabout (1971);;Knock Off (1998)"
840,"268,470,589,939,1834","Little Odessa (1994);;House Party 3 (1994);;Terminator 2: Judgment Day (1991);;Reluctant Debutante, The (1958);;Spanish Prisoner, The (1997)",House Arrest (1996),"Little Odessa (1994);;House Party 3 (1994);;Terminator 2: Judgment Day (1991);;Reluctant Debutante, The (1958);;Spanish Prisoner, The (1997)"
841,"2405,1235,2423,2422,2420","Jewel of the Nile, The (1985);;Harold and Maude (1971);;Christmas Vacation (1989);;Karate Kid III, The (1989);;Karate Kid, The (1984)",Eyes Without a Face (1959),"Jewel of the Nile, The (1985);;Harold and Maude (1971);;Christmas Vacation (1989);;Karate Kid III, The (1989);;Karate Kid, The (1984)"
842,"1791,2329,817,1792,1215",Twilight (1998);;American History X (1998);;U.S. Marshalls (1998);;Army of Darkness (1993),Tales from the Crypt Presents: Bordello of Blood (1996),Twilight (1998);;American History X (1998);;U.S. Marshalls (1998);;Army of Darkness (1993)
843,"2021,115,1619,2092,141","Dune (1984);;Happiness Is in the Field (1995);;Seven Years in Tibet (1997);;Return of Jafar, The (1993);;Birdcage, The (1996)",Lotto Land (1995),"Dune (1984);;Happiness Is in the Field (1995);;Seven Years in Tibet (1997);;Return of Jafar, The (1993);;Birdcage, The (1996)"
844,"1712,34,2921,2768,3108","Babe (1995);;High Plains Drifter (1972);;Stiff Upper Lips (1998);;Fisher King, The (1991)","Story of Xinghua, The (1993)","Babe (1995);;High Plains Drifter (1972);;Stiff Upper Lips (1998);;Fisher King, The (1991)"
846,"179,480,507,623,1129","Mad Love (1995);;Jurassic Park (1993);;Perfect World, A (1993);;Modern Affair, A (1995);;Escape from New York (1981)",Flirt (1995),"Mad Love (1995);;Jurassic Park (1993);;Perfect World, A (1993);;Modern Affair, A (1995);;Escape from New York (1981)"
847,"2021,820,643,2020,689","Dune (1984);;Death in the Garden (Mort en ce jardin, La) (1956);;Peanuts - Die Bank zahlt alles (1996);;Dangerous Liaisons (1988)","Big Squeeze, The (1996)","Dune (1984);;Death in the Garden (Mort en ce jardin, La) (1956);;Peanuts - Die Bank zahlt alles (1996);;Dangerous Liaisons (1988)"
848,"110,1163,274,2023,1285","Braveheart (1995);;Mina Tannenbaum (1994);;Man of the House (1995);;Godfather: Part III, The (1990);;Heathers (1989)","Spitfire Grill, The (1996)","Braveheart (1995);;Mina Tannenbaum (1994);;Man of the House (1995);;Godfather: Part III, The (1990);;Heathers (1989)"
849,"168,2574,1443,2106,426","First Knight (1995);;Out-of-Towners, The (1999);;Tickle in the Heart, A (1996);;Swing Kids (1993);;Body Snatchers (1993)",Escape from L.A. (1996),"First Knight (1995);;Out-of-Towners, The (1999);;Tickle in the Heart, A (1996);;Swing Kids (1993);;Body Snatchers (1993)"
850,"2286,298,297,1568,1172","Fiendish Plot of Dr. Fu Manchu, The (1980);;Pushing Hands (1992);;Panther (1995);;MURDER and murder (1996);;Cinema Paradiso (1988)",Cyclo (1995),"Fiendish Plot of Dr. Fu Manchu, The (1980);;Pushing Hands (1992);;Panther (1995);;MURDER and murder (1996);;Cinema Paradiso (1988)"
851,"718,1406,801,546,1420","Visitors, The (Les Visiteurs) (1993);;Cérémonie, La (1995);;Harriet the Spy (1996);;Super Mario Bros. (1993);;Message to Love: The Isle of Wight Festival (1996)",Basquiat (1996),"Visitors, The (Les Visiteurs) (1993);;Cérémonie, La (1995);;Harriet the Spy (1996);;Super Mario Bros. (1993);;Message to Love: The Isle of Wight Festival (1996)"
852,"1291,2231,2345,424,3340",Indiana Jones and the Last Crusade (1989);;Rounders (1998);;Desert Bloom (1986);;Blue Chips (1994);;Bride of the Monster (1956),Tin Cup (1996),Indiana Jones and the Last Crusade (1989);;Rounders (1998);;Desert Bloom (1986);;Blue Chips (1994);;Bride of the Monster (1956)
853,"1207,1237,2907,279,2309","To Kill a Mockingbird (1962);;Seventh Seal, The (Sjunde inseglet, Det) (1957);;Superstar (1999);;My Family (1995);;Inheritors, The (Die Siebtelbauern) (1998)",Dingo (1992),"To Kill a Mockingbird (1962);;Seventh Seal, The (Sjunde inseglet, Det) (1957);;Superstar (1999);;My Family (1995);;Inheritors, The (Die Siebtelbauern) (1998)"
854,"2294,2682,2888,3203,2843","Antz (1998);;Limbo (1999);;Drive Me Crazy (1999);;Dead Calm (1989);;Black Cat, White Cat (Crna macka, beli macor) (1998)","Ballad of Narayama, The (Narayama Bushiko) (1958)","Antz (1998);;Limbo (1999);;Drive Me Crazy (1999);;Dead Calm (1989);;Black Cat, White Cat (Crna macka, beli macor) (1998)"
858,"1115,602,1822,220,1752","Sleepover (1995);;Great Day in Harlem, A (1994);;Meet the Deedles (1998);;Castle Freak (1995);;Hard Rain (1998)","Godfather, The (1972)","Sleepover (1995);;Great Day in Harlem, A (1994);;Meet the Deedles (1998);;Castle Freak (1995);;Hard Rain (1998)"
859,"2508,1376,2268,2062,2022","Breaks, The (1999);;Star Trek IV: The Voyage Home (1986);;Few Good Men, A (1992);;Governess, The (1998);;Last Temptation of Christ, The (1988)","Hippie Revolution, The (1996)","Breaks, The (1999);;Star Trek IV: The Voyage Home (1986);;Few Good Men, A (1992);;Governess, The (1998);;Last Temptation of Christ, The (1988)"
860,"423,844,768,1300,52","Blown Away (1994);;Story of Xinghua, The (1993);;Someone Else's America (1995);;My Life as a Dog (Mitt liv som hund) (1985);;Mighty Aphrodite (1995)","Maybe, Maybe Not (Bewegte Mann, Der) (1994)","Blown Away (1994);;Story of Xinghua, The (1993);;Someone Else's America (1995);;My Life as a Dog (Mitt liv som hund) (1985);;Mighty Aphrodite (1995)"
861,"1309,109,2059,1658,3350","Parallel Sons (1995);;Headless Body in Topless Bar (1995);;Parent Trap, The (1998);;Life Less Ordinary, A (1997);;Raisin in the Sun, A (1961)",Supercop (1992),"Parallel Sons (1995);;Headless Body in Topless Bar (1995);;Parent Trap, The (1998);;Life Less Ordinary, A (1997);;Raisin in the Sun, A (1961)"
862,"1680,908,624,1105,127","Sliding Doors (1998);;North by Northwest (1959);;Condition Red (1995);;Children of the Corn IV: The Gathering (1996);;Silence of the Palace, The (Saimt el Qusur) (1994)",Manny & Lo (1996),"Sliding Doors (1998);;North by Northwest (1959);;Condition Red (1995);;Children of the Corn IV: The Gathering (1996);;Silence of the Palace, The (Saimt el Qusur) (1994)"
863,"2976,923,1204,1427,552","Bringing Out the Dead (1999);;Citizen Kane (1941);;Lawrence of Arabia (1962);;Turbulence (1997);;Three Musketeers, The (1993)",Celestial Clockwork (1994),"Bringing Out the Dead (1999);;Citizen Kane (1941);;Lawrence of Arabia (1962);;Turbulence (1997);;Three Musketeers, The (1993)"
864,"2532,3090,2107,2770,2822",Conquest of the Planet of the Apes (1972);;Matewan (1987);;Halloween: H20 (1998);;Bowfinger (1999);;Medicine Man (1992),"Wife, The (1995)",Conquest of the Planet of the Apes (1972);;Matewan (1987);;Halloween: H20 (1998);;Bowfinger (1999);;Medicine Man (1992)
865,"1061,2943,444,699,470",Sleepers (1996);;Indochine (1992);;Even Cowgirls Get the Blues (1993);;To Cross the Rubicon (1991);;House Party 3 (1994),Small Faces (1995),Sleepers (1996);;Indochine (1992);;Even Cowgirls Get the Blues (1993);;To Cross the Rubicon (1991);;House Party 3 (1994)
866,"1614,2115,3013,362,1075","In & Out (1997);;Indiana Jones and the Temple of Doom (1984);;Bride of Re-Animator (1990);;Jungle Book, The (1994);;Sexual Life of the Belgians, The (1994)",Bound (1996),"In & Out (1997);;Indiana Jones and the Temple of Doom (1984);;Bride of Re-Animator (1990);;Jungle Book, The (1994);;Sexual Life of the Belgians, The (1994)"
867,"1346,86,1525,403,261",Cat People (1982);;White Squall (1996);;Warriors of Virtue (1997);;Two Crimes (1995);;Little Women (1994),Carpool (1996),Cat People (1982);;White Squall (1996);;Warriors of Virtue (1997);;Two Crimes (1995);;Little Women (1994)
868,"0,0,0,0,0",,Death in Brunswick (1991),
869,"1030,2716,787,3397,1953","Pete's Dragon (1977);;Ghostbusters (1984);;Gate of Heavenly Peace, The (1995);;Great Muppet Caper, The (1981);;French Connection, The (1971)",Kansas City (1996),"Pete's Dragon (1977);;Ghostbusters (1984);;Gate of Heavenly Peace, The (1995);;Great Muppet Caper, The (1981);;French Connection, The (1971)"
870,"2564,3404,1803,1547,2644","Empty Mirror, The (1999);;Titanic (1953);;Shiloh (1997);;Dracula (1931)",Gone Fishin' (1997),"Empty Mirror, The (1999);;Titanic (1953);;Shiloh (1997);;Dracula (1931)"
872,"0,0,0,0,0",,Aiqing wansui (1994),
874,"1250,1703,1077,547,1644","Bridge on the River Kwai, The (1957);;For Richer or Poorer (1997);;Sleeper (1973);;Surviving the Game (1994);;I Know What You Did Last Summer (1997)",Killer: A Journal of Murder (1995),"Bridge on the River Kwai, The (1957);;For Richer or Poorer (1997);;Sleeper (1973);;Surviving the Game (1994);;I Know What You Did Last Summer (1997)"
875,"184,460,364,1342,905","Nadja (1994);;Getting Even with Dad (1994);;Lion King, The (1994);;Candyman (1992);;It Happened One Night (1934)",Nothing to Lose (1994),"Nadja (1994);;Getting Even with Dad (1994);;Lion King, The (1994);;Candyman (1992);;It Happened One Night (1934)"
876,"1484,2584,1848,1994,395","Daytrippers, The (1996);;Foolish (1999);;Borrowers, The (1997);;Poltergeist (1982);;Desert Winds (1995)",Police Story 4: Project S (Chao ji ji hua) (1993),"Daytrippers, The (1996);;Foolish (1999);;Borrowers, The (1997);;Poltergeist (1982);;Desert Winds (1995)"
877,"1375,1497,177,2806,263",Star Trek III: The Search for Spock (1984);;Double Team (1997);;Lord of Illusions (1995);;Teaching Mrs. Tingle (1999);;Ladybird Ladybird (1994),Girls Town (1996),Star Trek III: The Search for Spock (1984);;Double Team (1997);;Lord of Illusions (1995);;Teaching Mrs. Tingle (1999);;Ladybird Ladybird (1994)
878,"315,257,300,2885,2603","Specialist, The (1994);;Just Cause (1995);;Quiz Show (1994);;Guinevere (1999);;Nô (1998)",Bye-Bye (1995),"Specialist, The (1994);;Just Cause (1995);;Quiz Show (1994);;Guinevere (1999);;Nô (1998)"
879,"2064,2661,2778,3480,779",Roger & Me (1989);;It Came from Outer Space (1953);;Never Talk to Strangers (1995);;Lucas (1986);;'Til There Was You (1997),"Relic, The (1997)",Roger & Me (1989);;It Came from Outer Space (1953);;Never Talk to Strangers (1995);;Lucas (1986);;'Til There Was You (1997)
880,"696,2232,1595,503,155","Butterfly Kiss (1995);;Cube (1997);;Free Willy 3: The Rescue (1997);;New Age, The (1994);;Beyond Rangoon (1995)","Island of Dr. Moreau, The (1996)","Butterfly Kiss (1995);;Cube (1997);;Free Willy 3: The Rescue (1997);;New Age, The (1994);;Beyond Rangoon (1995)"
881,"942,926,1834,1840,1444","Laura (1944);;All About Eve (1950);;Spanish Prisoner, The (1997);;He Got Game (1998);;Guantanamera (1994)",First Kid (1996),"Laura (1944);;All About Eve (1950);;Spanish Prisoner, The (1997);;He Got Game (1998);;Guantanamera (1994)"
882,"964,1358,2230,3575,2341",Angel and the Badman (1947);;Sling Blade (1996);;Always Tell Your Wife (1923);;Defying Gravity (1997);;Dancing at Lughnasa (1998),"Trigger Effect, The (1996)",Angel and the Badman (1947);;Sling Blade (1996);;Always Tell Your Wife (1923);;Defying Gravity (1997);;Dancing at Lughnasa (1998)
884,"0,0,0,0,0",,Sweet Nothing (1995),
885,"73,141,1688,2216,136","Misérables, Les (1995);;Birdcage, The (1996);;Anastasia (1997);;Skin Game, The (1931);;From the Journals of Jean Seberg (1995)",Bogus (1996),"Misérables, Les (1995);;Birdcage, The (1996);;Anastasia (1997);;Skin Game, The (1931);;From the Journals of Jean Seberg (1995)"
886,"1579,1533,199,305,532","For Ever Mozart (1996);;Promise, The (La Promesse) (1996);;Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);;Ready to Wear (Pret-A-Porter) (1994);;Serial Mom (1994)",Bulletproof (1996),"For Ever Mozart (1996);;Promise, The (La Promesse) (1996);;Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);;Ready to Wear (Pret-A-Porter) (1994);;Serial Mom (1994)"
887,"675,2633,3625,73,2088","Hostile Intentions (1994);;Mummy, The (1932);;Better Living Through Circuitry (1999);;Misérables, Les (1995);;Popeye (1980)",Talk of Angels (1998),"Hostile Intentions (1994);;Mummy, The (1932);;Better Living Through Circuitry (1999);;Misérables, Les (1995);;Popeye (1980)"
888,"439,1456,164,2640,674","Dangerous Game (1993);;Pest, The (1997);;Devil in a Blue Dress (1995);;Superman (1978);;Barbarella (1968)",Land Before Time III: The Time of the Great Giving (1995),"Dangerous Game (1993);;Pest, The (1997);;Devil in a Blue Dress (1995);;Superman (1978);;Barbarella (1968)"
889,"2393,1503,1807,126,1702","Star Trek: Insurrection (1998);;8 Heads in a Duffel Bag (1997);;Cool Dry Place, A (1998);;NeverEnding Story III, The (1994);;Flubber (1997)",1-900 (1994),"Star Trek: Insurrection (1998);;8 Heads in a Duffel Bag (1997);;Cool Dry Place, A (1998);;NeverEnding Story III, The (1994);;Flubber (1997)"
891,"1784,1772,1785,1791,1776",As Good As It Gets (1997);;Blues Brothers 2000 (1998);;King of New York (1990);;Twilight (1998);;Ride (1998),Halloween: The Curse of Michael Myers (1995),As Good As It Gets (1997);;Blues Brothers 2000 (1998);;King of New York (1990);;Twilight (1998);;Ride (1998)
